start,end,count,pnl,buy_losses,sell_losses,engines
2026-02-06 04:58:40,2026-02-06 14:22:21,6,-152760.0,6,0,MRV:6
2025-10-15 19:39:14,2025-10-16 19:46:47,12,-128760.0,7,5,MRV:12
2026-03-02 00:52:15,2026-03-02 09:32:57,6,-124680.0,3,3,MRV:6
2026-03-11 04:25:41,2026-03-11 22:08:18,10,-109280.0,6,4,MRV:10
2025-10-17 01:02:05,2025-10-17 19:10:21,7,-107780.0,6,1,MRV:7
2026-03-25 03:59:38,2026-03-25 19:43:47,8,-106040.0,5,3,MRV:8
2025-05-20 16:26:36,2025-05-22 06:20:27,17,-103240.0,7,10,MRV:17
2025-11-20 23:41:15,2025-11-21 09:43:19,8,-103020.0,3,5,MRV:8
2026-03-05 08:04:15,2026-03-05 17:28:20,6,-101920.0,4,2,MRV:6
2026-05-04 03:35:04,2026-05-04 12:52:00,10,-100460.0,4,6,MRV:10
2026-03-24 03:57:40,2026-03-24 10:36:01,5,-98180.0,2,3,MRV:5
2026-04-13 23:40:36,2026-04-14 12:32:47,11,-96460.0,5,6,MRV:11
2025-07-17 15:25:04,2025-07-18 19:28:12,20,-92760.0,8,12,MRV:20
2026-03-02 23:32:35,2026-03-03 10:34:47,7,-90360.0,4,3,MRV:7
2026-02-27 04:00:37,2026-02-27 19:34:00,10,-87160.0,5,5,MRV:10
2026-03-16 08:41:41,2026-03-16 14:20:46,5,-86260.0,5,0,MRV:5
2026-01-20 06:40:41,2026-01-20 18:28:01,11,-85200.0,7,4,MRV:11
2026-03-12 23:50:36,2026-03-13 19:02:57,9,-84100.0,5,4,MRV:9
2026-04-30 09:06:39,2026-05-01 03:15:17,12,-83840.0,4,8,MRV:12
2026-04-27 04:50:04,2026-04-27 23:02:44,11,-81320.0,3,8,MRV:11
2026-01-07 23:48:35,2026-01-08 19:38:27,10,-80360.0,4,6,MRV:10
2026-03-09 07:25:38,2026-03-09 17:11:46,6,-79520.0,4,2,MRV:6
2026-02-26 00:16:03,2026-02-26 10:20:46,9,-75880.0,4,5,MRV:9
2026-02-24 06:23:40,2026-02-24 19:39:58,8,-75640.0,4,4,MRV:8
2026-02-19 13:37:15,2026-02-19 23:04:46,5,-73920.0,2,3,MRV:5
2025-12-29 08:02:42,2025-12-29 19:03:01,7,-72460.0,4,3,MRV:7
2025-10-20 13:36:42,2025-10-20 18:25:10,3,-72280.0,2,1,MRV:3
2025-10-27 23:06:15,2025-10-28 06:07:49,5,-71920.0,4,1,MRV:5
2025-12-19 04:28:36,2025-12-19 19:12:45,11,-71860.0,6,5,MRV:11
2026-02-13 03:19:26,2026-02-13 13:18:47,7,-70920.0,4,3,MRV:7
2025-05-07 04:57:39,2025-05-07 18:45:20,7,-70340.0,4,3,MRV:7
2026-04-07 12:03:14,2026-04-07 14:56:48,3,-69000.0,3,0,MRV:3
2026-04-02 12:06:40,2026-04-02 19:55:45,4,-68280.0,1,3,MRV:4
2025-10-13 03:19:55,2025-10-13 16:28:18,8,-67600.0,3,5,MRV:8
2025-10-02 12:18:42,2025-10-03 00:03:20,7,-67020.0,4,3,MRV:7
2025-09-05 00:31:38,2025-09-05 18:13:21,9,-65160.0,3,6,MRV:9
2026-01-22 06:52:41,2026-01-22 19:26:20,8,-64700.0,6,2,MRV:8
2026-03-24 15:38:15,2026-03-24 18:45:48,3,-63920.0,1,2,MRV:3
2026-02-18 06:47:40,2026-02-18 18:05:21,8,-62820.0,5,3,MRV:8
2026-03-12 14:24:39,2026-03-12 19:29:47,5,-62460.0,3,2,MRV:5
2025-06-29 23:51:40,2025-06-30 18:54:04,11,-62400.0,5,6,MRV:11
2026-05-08 06:48:42,2026-05-08 10:56:47,5,-62060.0,4,1,MRV:5
2025-11-24 09:08:39,2025-11-24 23:43:43,8,-60520.0,2,6,MRV:8
2026-03-10 13:47:39,2026-03-10 16:51:42,3,-60500.0,3,0,MRV:3
2025-11-17 00:02:38,2025-11-17 08:23:48,5,-60140.0,3,2,MRV:5
2025-07-01 03:19:49,2025-07-01 23:29:24,12,-59840.0,7,5,MRV:12
2025-06-19 01:08:41,2025-06-19 16:25:57,10,-59740.0,4,6,MRV:10
2025-09-16 09:14:44,2025-09-17 09:11:26,12,-59660.0,7,5,MRV:12
2026-05-06 14:51:40,2026-05-07 03:32:19,8,-59060.0,6,2,MRV:8
2025-08-06 00:21:35,2025-08-06 18:35:19,11,-58960.0,2,9,MRV:11
