code,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
S86,2.0,-19.240000000000002,0,-19.240000000000002,0.0,0.0,-9.620000000000001,0.0,-9.620000000000001,0.0,-12.34,0.0,2.0
S91,3.0,-13.11,10.38,-23.490000000000002,33.33333333333333,0.44189016602809705,-4.37,10.38,-11.745000000000001,10.38,-13.76,1.0,2.0
S69,4.0,-10.190000000000001,0.29,-10.48,25.0,0.027671755725190837,-2.5475000000000003,0.29,-3.4933333333333336,0.29,-3.99,1.0,3.0
S80,1.0,-9.98,0,-9.98,0.0,0.0,-9.98,0.0,-9.98,0.0,-9.98,0.0,1.0
S90,1.0,-7.59,0,-7.59,0.0,0.0,-7.59,0.0,-7.59,0.0,-7.59,0.0,1.0
S87,1.0,-6.26,0,-6.26,0.0,0.0,-6.26,0.0,-6.26,0.0,-6.26,0.0,1.0
S71,5.0,-6.15,3.29,-9.44,40.0,0.3485169491525424,-1.23,1.645,-3.1466666666666665,3.11,-3.61,2.0,3.0
S70,2.0,-5.71,0,-5.71,0.0,0.0,-2.855,0.0,-2.855,0.0,-3.68,0.0,2.0
S89,1.0,-5.29,0,-5.29,0.0,0.0,-5.29,0.0,-5.29,0.0,-5.29,0.0,1.0
S76,1.0,-4.21,0,-4.21,0.0,0.0,-4.21,0.0,-4.21,0.0,-4.21,0.0,1.0
S81,2.0,-0.9700000000000006,5.27,-6.24,50.0,0.8445512820512819,-0.4850000000000003,5.27,-6.24,5.27,-6.24,1.0,1.0
S93,1.0,-0.77,0,-0.77,0.0,0.0,-0.77,0.0,-0.77,0.0,-0.77,0.0,1.0
S74,5.0,-0.73,9.4,-10.129999999999999,40.0,0.9279368213228036,-0.146,4.7,-3.3766666666666665,7.04,-3.65,2.0,3.0
S65,1.0,0.14,0.14,0,100.0,0.0,0.14,0.14,0.0,0.14,0.0,1.0,0.0
S64,1.0,0.15,0.15,0,100.0,0.0,0.15,0.15,0.0,0.15,0.0,1.0,0.0
S85,1.0,0.36,0.36,0,100.0,0.0,0.36,0.36,0.0,0.36,0.0,1.0,0.0
S94,1.0,2.66,2.66,0,100.0,0.0,2.66,2.66,0.0,2.66,0.0,1.0,0.0
S79,2.0,2.95,2.95,0,100.0,0.0,1.475,1.475,0.0,1.87,0.0,2.0,0.0
S75,4.0,3.439999999999999,13.86,-10.42,50.0,1.3301343570057582,0.8599999999999998,6.93,-5.21,10.52,-7.7,2.0,2.0
S67,3.0,4.05,8.92,-4.87,66.66666666666666,1.8316221765913756,1.3499999999999999,4.46,-4.87,5.0,-4.87,2.0,1.0
S84,3.0,6.16,6.16,0,100.0,0.0,2.0533333333333332,2.0533333333333332,0.0,2.33,0.0,3.0,0.0
S68,5.0,7.29,11.01,-3.72,80.0,2.9596774193548385,1.458,2.7525,-3.72,3.64,-3.72,4.0,1.0
S92,1.0,7.84,7.84,0,100.0,0.0,7.84,7.84,0.0,7.84,0.0,1.0,0.0
S95,1.0,9.4,9.4,0,100.0,0.0,9.4,9.4,0.0,9.4,0.0,1.0,0.0
S77,5.0,10.24,17.51,-7.27,80.0,2.4085281980742783,2.048,4.3775,-7.27,10.65,-7.27,4.0,1.0
S82,4.0,11.54,14.45,-2.91,75.0,4.965635738831614,2.885,4.816666666666666,-2.91,8.84,-2.91,3.0,1.0
S78,4.0,13.32,22.700000000000003,-9.379999999999999,50.0,2.4200426439232414,3.33,11.350000000000001,-4.6899999999999995,12.98,-4.91,2.0,2.0
S73,8.0,16.22,29.95,-13.73,62.5,2.1813546977421705,2.0275,5.99,-4.576666666666667,10.09,-7.35,5.0,3.0
