closed_direction,hour,pnl,wins,losses
buy,0,-26.58,5,24
buy,1,24.45,36,17
buy,2,-6.14,13,14
buy,3,19.39,11,3
buy,4,26.10,10,2
buy,5,-0.74,23,33
buy,6,0.16,7,4
buy,7,-10.88,10,12
buy,8,-23.70,4,28
buy,9,-8.95,9,8
buy,10,-5.97,12,14
buy,11,-19.92,12,19
buy,12,-7.51,26,14
buy,13,4.60,25,16
buy,14,7.89,15,14
buy,15,12.00,10,8
buy,16,1.72,10,6
buy,17,-5.72,8,16
buy,18,-10.40,4,15
buy,19,-5.59,1,3
buy,20,2.39,6,2
buy,22,2.51,6,4
buy,23,5.38,9,1
sell,0,6.95,5,1
sell,1,-0.96,0,1
sell,2,-1.83,1,1
sell,4,-1.20,0,1
sell,5,3.03,2,2
sell,6,4.81,4,4
sell,7,-1.95,1,1
sell,8,1.02,1,1
sell,10,-1.11,1,1
sell,11,-0.63,1,1
sell,12,-5.16,0,4
sell,13,-0.93,0,1
sell,18,1.89,1,0
sell,19,-0.85,0,1
sell,20,0.11,1,0
sell,23,-3.36,0,2
