start,end,count,pnl,buy_losses,sell_losses
2026-03-12 11:20:14,2026-03-12 17:41:24,14,-11.44,14,0
2026-01-07 07:30:15,2026-01-07 11:39:32,5,-9.96,4,1
2026-01-08 00:36:40,2026-01-08 05:34:14,9,-9.29,9,0
2026-02-11 08:31:28,2026-02-11 12:18:27,4,-8.43,4,0
2026-01-12 14:03:33,2026-01-12 18:16:23,4,-8.01,4,0
2026-02-05 05:07:41,2026-02-05 14:01:42,10,-7.93,10,0
2026-02-16 02:35:20,2026-02-16 08:17:15,7,-7.92,7,0
2026-03-04 10:30:29,2026-03-04 18:20:30,8,-7.65,8,0
2026-03-11 22:09:01,2026-03-12 02:36:42,7,-7.31,6,1
2026-03-03 06:18:28,2026-03-03 11:07:29,8,-7.28,7,1
2026-02-06 06:06:31,2026-02-06 10:22:37,3,-6.17,3,0
2026-01-15 13:18:41,2026-01-15 13:19:30,3,-6.12,3,0
2026-04-10 01:34:31,2026-04-10 08:51:35,10,-6.01,9,1
2026-03-24 07:32:40,2026-03-24 13:53:39,4,-5.12,3,1
2026-03-05 14:39:14,2026-03-05 16:26:41,8,-5.00,8,0
2026-03-18 07:46:38,2026-03-18 11:43:37,9,-4.43,9,0
2026-01-20 00:02:39,2026-01-20 00:29:39,3,-4.33,3,0
2026-03-16 10:25:39,2026-03-16 14:24:42,3,-4.33,2,1
2026-04-14 09:31:04,2026-04-14 10:38:31,3,-4.22,3,0
2026-03-06 00:00:30,2026-03-06 02:41:25,3,-3.81,3,0
2026-03-25 02:09:39,2026-03-25 07:35:39,3,-3.79,2,1
2026-04-08 12:21:42,2026-04-08 19:37:30,16,-3.78,15,1
2026-03-26 05:26:20,2026-03-26 08:43:30,13,-3.67,13,0
2026-02-17 05:12:40,2026-02-17 05:14:26,5,-3.60,5,0
2026-04-06 10:14:19,2026-04-06 11:45:37,3,-3.48,3,0
2026-04-07 01:00:28,2026-04-07 01:00:32,8,-3.39,8,0
2026-03-30 18:54:40,2026-03-30 18:57:30,7,-3.31,7,0
2026-03-09 00:05:42,2026-03-09 02:03:16,5,-2.80,5,0
2026-03-06 10:06:13,2026-03-06 11:56:29,4,-2.40,4,0
2026-02-17 00:52:19,2026-02-17 00:52:20,3,-2.33,3,0
2026-04-09 03:14:27,2026-04-09 06:54:15,3,-0.60,3,0
