preset,leverage,trend_risk,sideways_risk,sell_mult,high_score_buy_mult,trend_cap,sideways_cap,trend_loss_cap,sideways_loss_cap,skip_below_min_lot,report_path,net_profit,profit_pct,profit_factor,expected_payoff,total_trades,win_rate,balance_dd_pct,equity_dd_pct,score
baseline,1:100,0.75,0.35,0.85,1.1,7,8,5.0,3.0,True,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_aggr_baseline_XAUUSDc_M15_20251018_20260415.htm,34.01,34.01,1.09,0.03,1204,51.16,28.76,29.73,10.620500000000014
baseline,1:200,0.75,0.35,0.85,1.1,7,8,5.0,3.0,True,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_aggr_baseline_XAUUSDc_M15_20251018_20260415.htm,34.01,34.01,1.09,0.03,1204,51.16,28.76,29.73,10.620500000000014
baseline,1:500,0.75,0.35,0.85,1.1,7,8,5.0,3.0,True,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_aggr_baseline_XAUUSDc_M15_20251018_20260415.htm,34.01,34.01,1.09,0.03,1204,51.16,28.76,29.73,10.620500000000014
a_r125,1:100,1.25,0.6,0.85,1.1,7,8,5.0,3.0,True,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_aggr_a_r125_XAUUSDc_M15_20251018_20260415.htm,63.95,63.95000000000001,1.08,0.06,1135,52.69,48.46,49.85,16.22250000000001
a_r125,1:200,1.25,0.6,0.85,1.1,7,8,5.0,3.0,True,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_aggr_a_r125_XAUUSDc_M15_20251018_20260415.htm,63.95,63.95000000000001,1.08,0.06,1135,52.69,48.46,49.85,16.22250000000001
a_r125,1:500,1.25,0.6,0.85,1.1,7,8,5.0,3.0,True,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_aggr_a_r125_XAUUSDc_M15_20251018_20260415.htm,63.95,63.95000000000001,1.08,0.06,1135,52.69,48.46,49.85,16.22250000000001
b_r175,1:100,1.75,0.8,0.85,1.15,7,8,6.0,4.0,True,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_aggr_b_r175_XAUUSDc_M15_20251018_20260415.htm,107.9,107.89999999999999,1.08,0.1,1102,53.27,61.23,62.65,45.452500000000015
b_r175,1:200,1.75,0.8,0.85,1.15,7,8,6.0,4.0,True,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_aggr_b_r175_XAUUSDc_M15_20251018_20260415.htm,107.9,107.89999999999999,1.08,0.1,1102,53.27,61.23,62.65,45.452500000000015
b_r175,1:500,1.75,0.8,0.85,1.15,7,8,6.0,4.0,True,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_aggr_b_r175_XAUUSDc_M15_20251018_20260415.htm,107.9,107.89999999999999,1.08,0.1,1102,53.27,61.23,62.65,45.452500000000015
c_r225,1:100,2.25,1.0,0.9,1.15,7,8,7.0,5.0,True,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_aggr_c_r225_XAUUSDc_M15_20251018_20260415.htm,88.94,88.94,1.05,0.08,1062,53.11,72.35,73.6,10.300000000000011
c_r225,1:200,2.25,1.0,0.9,1.15,7,8,7.0,5.0,True,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_aggr_c_r225_XAUUSDc_M15_20251018_20260415.htm,88.94,88.94,1.05,0.08,1062,53.11,72.35,73.6,10.300000000000011
c_r225,1:500,2.25,1.0,0.9,1.15,7,8,7.0,5.0,True,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_aggr_c_r225_XAUUSDc_M15_20251018_20260415.htm,88.94,88.94,1.05,0.08,1062,53.11,72.35,73.6,10.300000000000011
d_r225_force,1:100,2.25,1.0,0.9,1.15,7,8,7.0,5.0,False,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_aggr_d_r225_force_XAUUSDc_M15_20251018_20260415.htm,88.94,88.94,1.05,0.08,1062,53.11,72.35,73.6,10.300000000000011
d_r225_force,1:200,2.25,1.0,0.9,1.15,7,8,7.0,5.0,False,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_aggr_d_r225_force_XAUUSDc_M15_20251018_20260415.htm,88.94,88.94,1.05,0.08,1062,53.11,72.35,73.6,10.300000000000011
d_r225_force,1:500,2.25,1.0,0.9,1.15,7,8,7.0,5.0,False,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_aggr_d_r225_force_XAUUSDc_M15_20251018_20260415.htm,88.94,88.94,1.05,0.08,1062,53.11,72.35,73.6,10.300000000000011
e_r275_force,1:100,2.75,1.2,0.95,1.2,9,10,8.0,5.0,False,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_aggr_e_r275_force_XAUUSDc_M15_20251018_20260415.htm,30.23,30.23,1.02,0.03,1007,51.74,82.18,83.13,-62.96949999999999
e_r275_force,1:200,2.75,1.2,0.95,1.2,9,10,8.0,5.0,False,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_aggr_e_r275_force_XAUUSDc_M15_20251018_20260415.htm,30.23,30.23,1.02,0.03,1007,51.74,82.18,83.13,-62.96949999999999
e_r275_force,1:500,2.75,1.2,0.95,1.2,9,10,8.0,5.0,False,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_aggr_e_r275_force_XAUUSDc_M15_20251018_20260415.htm,30.23,30.23,1.02,0.03,1007,51.74,82.18,83.13,-62.96949999999999
f_r325_force,1:100,3.25,1.4,1.0,1.25,10,10,9.0,6.0,False,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_aggr_f_r325_force_XAUUSDc_M15_20251018_20260415.htm,41.76,41.76,1.02,0.04,991,51.97,86.22,87.06,-55.959
f_r325_force,1:200,3.25,1.4,1.0,1.25,10,10,9.0,6.0,False,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_aggr_f_r325_force_XAUUSDc_M15_20251018_20260415.htm,40.64,40.64,1.02,0.04,991,51.97,86.44,87.27,-57.32049999999998
f_r325_force,1:500,3.25,1.4,1.0,1.25,10,10,9.0,6.0,False,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v6_aggr_f_r325_force_XAUUSDc_M15_20251018_20260415.htm,40.64,40.64,1.02,0.04,991,51.97,86.44,87.27,-57.32049999999998
