preset,note,report_path,net_profit,profit_pct,profit_factor,expected_payoff,total_trades,win_rate,balance_dd_pct,equity_dd_pct
control,Current v7 seed after structural override patch.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round2_control_XAUUSDc_M15_20260101_20260415.htm,2.26,2.26,1.21,0.04,60,50.0,4.14,5.32
champion11_r120,Round1 winner logic on updated seed.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round2_champion11_r120_XAUUSDc_M15_20260101_20260415.htm,9.23,9.23,1.34,0.14,68,50.0,8.58,10.99
champion11_market,Round1 winner plus market-only trend execution.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round2_champion11_market_XAUUSDc_M15_20260101_20260415.htm,1.96,1.96,1.04,0.02,101,69.31,11.88,14.82
champion11_allsell,Round1 winner plus all sell hours.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round2_champion11_allsell_XAUUSDc_M15_20260101_20260415.htm,9.68,9.68,1.35,0.14,71,49.3,8.54,10.95
champion11_pending,Round1 winner plus pending manager.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round2_champion11_pending_XAUUSDc_M15_20260101_20260415.htm,10.59,10.59,1.44,0.17,64,51.56,8.45,10.84
champion11_breakeven,Round1 winner plus breakeven manager.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round2_champion11_breakeven_XAUUSDc_M15_20260101_20260415.htm,12.63,12.629999999999999,1.55,0.19,68,58.82,6.53,8.32
champion11_manage_both,Round1 winner plus pending and breakeven managers.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round2_champion11_manage_both_XAUUSDc_M15_20260101_20260415.htm,13.54,13.54,1.67,0.21,64,60.94,6.3,8.75
champion11_r150,Round1 winner with harder risk.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round2_champion11_r150_XAUUSDc_M15_20260101_20260415.htm,12.19,12.19,1.34,0.18,69,50.72,10.73,13.63
champion11_r150_market,Harder risk plus market-only.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round2_champion11_r150_market_XAUUSDc_M15_20260101_20260415.htm,2.0,2.0,1.03,0.02,100,69.0,14.8,18.24
champion11_buy70,Round1 winner with looser buy score.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round2_champion11_buy70_XAUUSDc_M15_20260101_20260415.htm,16.14,16.14,1.53,0.22,74,52.7,7.16,8.35
champion11_no_impulsive_buy,Round1 winner without high-score impulsive buy requirement.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round2_champion11_no_impulsive_buy_XAUUSDc_M15_20260101_20260415.htm,0.11,0.11,1.0,0.0,74,44.59,10.47,13.15
champion11_sideways35,Round1 winner with more permissive sideways ADX.,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v7_round2_champion11_sideways35_XAUUSDc_M15_20260101_20260415.htm,10.6,10.6,1.35,0.12,89,53.93,8.58,10.96
