preset,note,deposit,report_path,net_profit,profit_pct,profit_factor,win_rate,total_trades,equity_dd_pct
control,Current v8 champion.,100,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round4_control_XAUUSDc_M15_20260101_20260415.htm,32.6,32.6,2.05,58.9,73,8.99
control,Current v8 champion.,10000,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round4_control_XAUUSDc_M15_20260101_20260415.htm,2358.52,23.5852,1.28,55.88,238,14.08
trend195,Slight trend risk uplift.,100,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round4_trend195_XAUUSDc_M15_20260101_20260415.htm,28.24,28.24,1.87,60.0,70,9.7
trend195,Slight trend risk uplift.,10000,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round4_trend195_XAUUSDc_M15_20260101_20260415.htm,2014.73,20.1473,1.24,55.7,237,14.16
trend210,Moderate trend risk uplift.,100,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round4_trend210_XAUUSDc_M15_20260101_20260415.htm,31.04,31.04,1.88,59.15,71,10.3
trend210,Moderate trend risk uplift.,10000,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round4_trend210_XAUUSDc_M15_20260101_20260415.htm,2258.53,22.585300000000004,1.26,55.7,237,14.22
trend225,Aggressive trend risk uplift.,100,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round4_trend225_XAUUSDc_M15_20260101_20260415.htm,33.59,33.59,1.88,58.33,72,10.85
trend225,Aggressive trend risk uplift.,10000,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round4_trend225_XAUUSDc_M15_20260101_20260415.htm,2506.56,25.0656,1.28,55.7,237,14.48
buyrisk010,Lower residual bearish-regime buy participation.,100,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round4_buyrisk010_XAUUSDc_M15_20260101_20260415.htm,32.84,32.84,2.06,58.9,73,8.99
buyrisk010,Lower residual bearish-regime buy participation.,10000,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round4_buyrisk010_XAUUSDc_M15_20260101_20260415.htm,2384.25,23.8425,1.29,55.88,238,13.91
buyrisk020,Higher residual bearish-regime buy participation.,100,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round4_buyrisk020_XAUUSDc_M15_20260101_20260415.htm,32.36,32.36,2.03,58.9,73,8.99
buyrisk020,Higher residual bearish-regime buy participation.,10000,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round4_buyrisk020_XAUUSDc_M15_20260101_20260415.htm,2335.1,23.351,1.28,55.88,238,14.25
close2_buy015,Faster bearish regime detection.,100,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round4_close2_buy015_XAUUSDc_M15_20260101_20260415.htm,28.11,28.110000000000003,1.79,60.56,71,9.08
close2_buy015,Faster bearish regime detection.,10000,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round4_close2_buy015_XAUUSDc_M15_20260101_20260415.htm,1943.38,19.4338,1.22,55.88,238,16.97
close2_buy010,Faster bearish regime plus lower residual buy risk.,100,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round4_close2_buy010_XAUUSDc_M15_20260101_20260415.htm,28.11,28.110000000000003,1.79,60.56,71,9.08
close2_buy010,Faster bearish regime plus lower residual buy risk.,10000,/Users/naufalrachmandani/Library/Application Support/net.metaquotes.wine.metatrader5/drive_c/Program Files/MetaTrader 5/Reports/InvictusForward1M15_v8_round4_close2_buy010_XAUUSDc_M15_20260101_20260415.htm,1943.38,19.4338,1.22,55.88,238,16.97
